circuit D
t	Ve	Vs
0	0	0
1e-010	0.00628314	0
2e-010	0.012566	5.23595e-006
3e-010	0.0188484	1.57033e-005
4e-010	0.0251301	3.13972e-005
5e-010	0.0314108	5.23126e-005
6e-010	0.0376902	7.84441e-005
7e-010	0.0439681	0.000109786
8e-010	0.0502443	0.000146333
9e-010	0.0565185	0.000188078
1e-009	0.0627905	0.000235016
1.1e-009	0.06906	0.000287139
1.2e-009	0.0753268	0.000344441
1.3e-009	0.0815906	0.000406915
1.4e-009	0.0878512	0.000474553
1.5e-009	0.0941083	0.000547348
1.6e-009	0.100362	0.000625292
1.7e-009	0.106611	0.000708376
1.8e-009	0.112856	0.000796593
1.9e-009	0.119097	0.000889934
2e-009	0.125333	0.000988389
2.1e-009	0.131564	0.00109195
2.2e-009	0.13779	0.00120061
2.3e-009	0.144011	0.00131435
2.4e-009	0.150226	0.00143317
2.5e-009	0.156434	0.00155706
2.6e-009	0.162637	0.00168601
2.7e-009	0.168833	0.00182
2.8e-009	0.175023	0.00195902
2.9e-009	0.181206	0.00210307
3e-009	0.187381	0.00225214
3.1e-009	0.193549	0.0024062
3.2e-009	0.19971	0.00256525
3.3e-009	0.205863	0.00272928
3.4e-009	0.212007	0.00289828
3.5e-009	0.218143	0.00307222
3.6e-009	0.224271	0.00325111
3.7e-009	0.230389	0.00343492
3.8e-009	0.236499	0.00362365
3.9e-009	0.242599	0.00381727
4e-009	0.24869	0.00401579
4.1e-009	0.254771	0.00421917
4.2e-009	0.260841	0.00442741
4.3e-009	0.266902	0.00464049
4.4e-009	0.272952	0.00485841
4.5e-009	0.278991	0.00508113
4.6e-009	0.285019	0.00530866
4.7e-009	0.291036	0.00554097
4.8e-009	0.297042	0.00577804
4.9e-009	0.303035	0.00601987
5e-009	0.309017	0.00626643
5.1e-009	0.314987	0.00651772
5.2e-009	0.320944	0.0067737
5.3e-009	0.326888	0.00703437
5.4e-009	0.33282	0.00729971
5.5e-009	0.338738	0.0075697
5.6e-009	0.344643	0.00784432
5.7e-009	0.350534	0.00812356
5.8e-009	0.356412	0.0084074
5.9e-009	0.362275	0.00869582
6e-009	0.368125	0.0089888
6.1e-009	0.373959	0.00928633
6.2e-009	0.379779	0.00958838
6.3e-009	0.385584	0.00989493
6.4e-009	0.391374	0.010206
6.5e-009	0.397148	0.0105215
6.6e-009	0.402906	0.0108414
6.7e-009	0.408649	0.0111658
6.8e-009	0.414376	0.0114946
6.9e-009	0.420086	0.0118278
7e-009	0.425779	0.0121653
7.1e-009	0.431456	0.0125072
7.2e-009	0.437116	0.0128534
7.3e-009	0.442758	0.0132039
7.4e-009	0.448383	0.0135587
7.5e-009	0.45399	0.0139178
7.6e-009	0.45958	0.0142811
7.7e-009	0.465151	0.0146486
7.8e-009	0.470704	0.0150203
7.9e-009	0.476238	0.0153961
8e-009	0.481754	0.0157761
8.1e-009	0.48725	0.0161603
8.2e-009	0.492727	0.0165485
8.3e-009	0.498185	0.0169409
8.4e-009	0.503623	0.0173372
8.5e-009	0.509041	0.0177377
8.6e-009	0.51444	0.0181421
8.7e-009	0.519817	0.0185505
8.8e-009	0.525175	0.0189629
8.9e-009	0.530511	0.0193792
9e-009	0.535827	0.0197994
9.1e-009	0.541121	0.0202235
9.2e-009	0.546394	0.0206514
9.3e-009	0.551646	0.0210832
9.4e-009	0.556876	0.0215188
9.5e-009	0.562083	0.0219582
9.6e-009	0.567269	0.0224014
9.7e-009	0.572432	0.0228482
9.8e-009	0.577573	0.0232988
9.9e-009	0.58269	0.0237531
1e-008	0.587785	0.024211
1.01e-008	0.592857	0.0246726
1.02e-008	0.597905	0.0251377
1.03e-008	0.60293	0.0256064
1.04e-008	0.60793	0.0260787
1.05e-008	0.612907	0.0265545
1.06e-008	0.61786	0.0270337
1.07e-008	0.622788	0.0275165
1.08e-008	0.627691	0.0280026
1.09e-008	0.63257	0.0284922
1.1e-008	0.637424	0.0289852
1.11e-008	0.642253	0.0294815
1.12e-008	0.647056	0.0299811
1.13e-008	0.651834	0.030484
1.14e-008	0.656586	0.0309902
1.15e-008	0.661312	0.0314996
1.16e-008	0.666012	0.0320122
1.17e-008	0.670686	0.032528
1.18e-008	0.675333	0.0330469
1.19e-008	0.679953	0.0335689
1.2e-008	0.684547	0.0340941
1.21e-008	0.689114	0.0346223
1.22e-008	0.693653	0.0351535
1.23e-008	0.698165	0.0356877
1.24e-008	0.70265	0.0362248
1.25e-008	0.707107	0.0367649
1.26e-008	0.711536	0.0373079
1.27e-008	0.715936	0.0378538
1.28e-008	0.720309	0.0384025
1.29e-008	0.724653	0.038954
1.3e-008	0.728969	0.0395083
1.31e-008	0.733255	0.0400654
1.32e-008	0.737513	0.0406251
1.33e-008	0.741742	0.0411876
1.34e-008	0.745941	0.0417527
1.35e-008	0.750111	0.0423204
1.36e-008	0.754251	0.0428906
1.37e-008	0.758362	0.0434635
1.38e-008	0.762443	0.0440388
1.39e-008	0.766493	0.0446167
1.4e-008	0.770513	0.045197
1.41e-008	0.774503	0.0457797
1.42e-008	0.778462	0.0463648
1.43e-008	0.782391	0.0469522
1.44e-008	0.786288	0.047542
1.45e-008	0.790155	0.0481341
1.46e-008	0.79399	0.0487284
1.47e-008	0.797794	0.0493249
1.48e-008	0.801567	0.0499237
1.49e-008	0.805308	0.0505245
1.5e-008	0.809017	0.0511275
1.51e-008	0.812694	0.0517326
1.52e-008	0.816339	0.0523397
1.53e-008	0.819952	0.0529489
1.54e-008	0.823533	0.05356
1.55e-008	0.827081	0.054173
1.56e-008	0.830596	0.054788
1.57e-008	0.834078	0.0554049
1.58e-008	0.837528	0.0560236
1.59e-008	0.840945	0.0566441
1.6e-008	0.844328	0.0572663
1.61e-008	0.847678	0.0578903
1.62e-008	0.850994	0.058516
1.63e-008	0.854277	0.0591434
1.64e-008	0.857527	0.0597724
1.65e-008	0.860742	0.0604029
1.66e-008	0.863923	0.0610351
1.67e-008	0.867071	0.0616687
1.68e-008	0.870184	0.0623039
1.69e-008	0.873262	0.0629405
1.7e-008	0.876307	0.0635785
1.71e-008	0.879316	0.0642179
1.72e-008	0.882291	0.0648586
1.73e-008	0.885231	0.0655006
1.74e-008	0.888136	0.0661439
1.75e-008	0.891007	0.0667884
1.76e-008	0.893841	0.0674341
1.77e-008	0.896641	0.068081
1.78e-008	0.899405	0.068729
1.79e-008	0.902134	0.069378
1.8e-008	0.904827	0.0700281
1.81e-008	0.907484	0.0706793
1.82e-008	0.910106	0.0713314
1.83e-008	0.912692	0.0719844
1.84e-008	0.915241	0.0726383
1.85e-008	0.917755	0.0732931
1.86e-008	0.920232	0.0739487
1.87e-008	0.922673	0.0746051
1.88e-008	0.925077	0.0752622
1.89e-008	0.927445	0.0759201
1.9e-008	0.929776	0.0765786
1.91e-008	0.932071	0.0772378
1.92e-008	0.934329	0.0778975
1.93e-008	0.93655	0.0785578
1.94e-008	0.938734	0.0792187
1.95e-008	0.940881	0.07988
1.96e-008	0.942991	0.0805418
1.97e-008	0.945063	0.0812039
1.98e-008	0.947098	0.0818665
1.99e-008	0.949096	0.0825294
2e-008	0.951056	0.0831925
2.01e-008	0.952979	0.0838559
2.02e-008	0.954865	0.0845196
2.03e-008	0.956712	0.0851834
2.04e-008	0.958522	0.0858474
2.05e-008	0.960294	0.0865114
2.06e-008	0.962028	0.0871756
2.07e-008	0.963724	0.0878397
2.08e-008	0.965382	0.0885039
2.09e-008	0.967001	0.089168
2.1e-008	0.968583	0.089832
2.11e-008	0.970127	0.0904959
2.12e-008	0.971632	0.0911596
2.13e-008	0.973099	0.0918231
2.14e-008	0.974527	0.0924863
2.15e-008	0.975917	0.0931493
2.16e-008	0.977268	0.093812
2.17e-008	0.978581	0.0944743
2.18e-008	0.979855	0.0951362
2.19e-008	0.98109	0.0957977
2.2e-008	0.982287	0.0964587
2.21e-008	0.983445	0.0971192
2.22e-008	0.984564	0.0977792
2.23e-008	0.985645	0.0984385
2.24e-008	0.986686	0.0990972
2.25e-008	0.987688	0.0997553
2.26e-008	0.988652	0.100413
2.27e-008	0.989576	0.101069
2.28e-008	0.990461	0.101725
2.29e-008	0.991308	0.10238
2.3e-008	0.992115	0.103034
2.31e-008	0.992883	0.103688
2.32e-008	0.993611	0.10434
2.33e-008	0.994301	0.104991
2.34e-008	0.994951	0.105642
2.35e-008	0.995562	0.106291
2.36e-008	0.996134	0.106939
2.37e-008	0.996666	0.107586
2.38e-008	0.997159	0.108232
2.39e-008	0.997612	0.108877
2.4e-008	0.998027	0.10952
2.41e-008	0.998402	0.110162
2.42e-008	0.998737	0.110803
2.43e-008	0.999033	0.111443
2.44e-008	0.999289	0.112081
2.45e-008	0.999507	0.112718
2.46e-008	0.999684	0.113353
2.47e-008	0.999822	0.113987
2.48e-008	0.999921	0.114619
2.49e-008	0.99998	0.115249
2.5e-008	1	0.115878
2.51e-008	0.99998	0.116506
2.52e-008	0.999921	0.117131
2.53e-008	0.999822	0.117755
2.54e-008	0.999684	0.118377
2.55e-008	0.999507	0.118997
2.56e-008	0.999289	0.119616
2.57e-008	0.999033	0.120232
2.58e-008	0.998737	0.120847
2.59e-008	0.998402	0.12146
2.6e-008	0.998027	0.12207
2.61e-008	0.997612	0.122679
2.62e-008	0.997159	0.123285
2.63e-008	0.996666	0.12389
2.64e-008	0.996134	0.124492
2.65e-008	0.995562	0.125092
2.66e-008	0.994951	0.12569
2.67e-008	0.994301	0.126286
2.68e-008	0.993611	0.126879
2.69e-008	0.992883	0.12747
2.7e-008	0.992115	0.128059
2.71e-008	0.991308	0.128645
